tick,pid,x,y,state,instr
0,0,2.5,2.5,0,1
1,0,2.5501960784313726,2.500392156862745,0,1
2,0,2.645529565551711,2.501137254901961,0,1
3,0,2.7814125028835064,2.5022,0,1
4,0,2.953684087658593,2.5035486274509804,0,1
5,0,3.1585711212610534,2.5051545490196077,0,1
6,0,3.392652096424452,2.5069920352941173,0,1
7,0,3.652824590948097,2.509037929803921,0,1
8,0,3.9362756657565554,2.5112713917254896,0,1
9,0,4.240454992496609,2.5136736643176465,0,1
10,0,4.5630504607835665,2.516227866513333,0,1
11,0,4.901966037891088,2.518918805352196,0,1
12,0,5.255301674323365,2.521732807169917,0,1
13,0,5.621335067496274,2.524657565668612,0,1
14,0,5.9985051128499975,2.527682005180182,0,1
15,0,6.3853968872700095,2.53079615760334,0,1
16,0,6.78072802384361,2.5339910516469275,0,1
17,0,7.183336349850705,2.5372586131489014,0,1
18,0,7.592168671594415,2.540591575363423,1,2
19,0,8.006270600323633,2.5439833982192375,2,2
20,0,8.424777323180837,2.547428195652216,2,1
21,0,8.846905231910885,2.550920670204641,2,0
